drift_threshold,authorship_margin,uncorroborated_weight,suspicious,ramp_width,precision,recall,f1,fpr,tp,fp,fn,tn,hn_fpr,malicious_precision
0.2,0.0,0.2,0.3,0.1,0.6667,0.5882,0.625,0.0862,10,5,7,53,0.1111,0.0
0.2,0.0,0.2,0.3,0.2,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.2,0.3,0.3,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.2,0.4,0.1,0.6429,0.5294,0.5806,0.0862,9,5,8,53,0.1111,0.0
0.2,0.0,0.2,0.4,0.2,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.2,0.4,0.3,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.0,0.2,0.5,0.1,0.6429,0.5294,0.5806,0.0862,9,5,8,53,0.1111,0.0
0.2,0.0,0.2,0.5,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.0,0.2,0.5,0.3,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.0,0.2,0.6,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.2,0.6,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.0,0.2,0.6,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.0172,0,1,17,57,0.1111,0.0
0.2,0.0,0.2,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.2,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.35,0.3,0.1,0.4545,0.5882,0.5128,0.2069,10,12,7,46,0.5556,0.0
0.2,0.0,0.35,0.3,0.2,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.35,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.35,0.4,0.1,0.6429,0.5294,0.5806,0.0862,9,5,8,53,0.1111,0.0
0.2,0.0,0.35,0.4,0.2,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.35,0.4,0.3,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.35,0.5,0.1,0.6429,0.5294,0.5806,0.0862,9,5,8,53,0.1111,0.0
0.2,0.0,0.35,0.5,0.2,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.35,0.5,0.3,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.35,0.6,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.35,0.6,0.2,0.7273,0.4706,0.5714,0.0517,8,3,9,55,0.0,0.0
0.2,0.0,0.35,0.6,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.0,0.35,0.7,0.1,0.0,0.0,0.0,0.0172,0,1,17,57,0.1111,0.0
0.2,0.0,0.35,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.35,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.45,0.3,0.1,0.4545,0.5882,0.5128,0.2069,10,12,7,46,0.5556,0.0
0.2,0.0,0.45,0.3,0.2,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.45,0.3,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.45,0.4,0.1,0.4286,0.5294,0.4737,0.2069,9,12,8,46,0.5556,0.0
0.2,0.0,0.45,0.4,0.2,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.45,0.4,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.45,0.5,0.1,0.6429,0.5294,0.5806,0.0862,9,5,8,53,0.1111,0.0
0.2,0.0,0.45,0.5,0.2,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.45,0.5,0.3,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.45,0.6,0.1,0.6923,0.5294,0.6,0.069,9,4,8,54,0.1111,0.0
0.2,0.0,0.45,0.6,0.2,0.6667,0.4706,0.5517,0.069,8,4,9,54,0.1111,0.0
0.2,0.0,0.45,0.6,0.3,0.8,0.4706,0.5926,0.0345,8,2,9,56,0.0,0.0
0.2,0.0,0.45,0.7,0.1,0.0,0.0,0.0,0.0172,0,1,17,57,0.1111,0.0
0.2,0.0,0.45,0.7,0.2,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.45,0.7,0.3,0.0,0.0,0.0,0.0,0,0,17,58,0.0,0.0
0.2,0.0,0.6,0.3,0.1,0.4167,0.5882,0.4878,0.2414,10,14,7,44,0.5556,0.0
0.2,0.0,0.6,0.3,0.2,0.4091,0.5294,0.4615,0.2241,9,13,8,45,0.5556,0.0
0.2,0.0,0.6,0.3,0.3,0.381,0.4706,0.4211,0.2241,8,13,9,45,0.5556,0.0
0.2,0.0,0.6,0.4,0.1,0.4286,0.5294,0.4737,0.2069,9,12,8,46,0.5556,0.0
0.2,0.0,0.6,0.4,0.2,0.45,0.5294,0.4865,0.1897,9,11,8,47,0.5556,0.0
0.2,0.0,0.6,0.4,0.3,0.4211,0.4706,0.4444,0.1897,8,11,9,47,0.5556,0.0
0.2,0.0,0.6,0.5,0.1,0.4286,0.5294,0.4737,0.2069,9,12,8,46,0.5556,0.0
