flag_threshold,precision,recall,f1,fpr,tp,fp,fn,tn
0.05,0.0769,0.0233,0.0357,0.375,1,12,42,20
0.1,0.0769,0.0233,0.0357,0.375,1,12,42,20
0.15,0.0769,0.0233,0.0357,0.375,1,12,42,20
0.2,0.0833,0.0233,0.0364,0.3438,1,11,42,21
0.25,0.0833,0.0233,0.0364,0.3438,1,11,42,21
0.3,0.0833,0.0233,0.0364,0.3438,1,11,42,21
0.35,0.0833,0.0233,0.0364,0.3438,1,11,42,21
0.4,0.1,0.0233,0.0377,0.2812,1,9,42,23
0.45,0.1,0.0233,0.0377,0.2812,1,9,42,23
0.5,0.1,0.0233,0.0377,0.2812,1,9,42,23
0.55,0.1,0.0233,0.0377,0.2812,1,9,42,23
0.6,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.65,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.7,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.75,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.8,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.85,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.9,0.125,0.0233,0.0392,0.2188,1,7,42,25
0.95,0.125,0.0233,0.0392,0.2188,1,7,42,25
